ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760671602796131069,bybit,trade,1760671602758000000,1760671602760000000,0.09850010,sell,market,,,,,,,,,,,
1760671602787570704,bitget,orderbook,1760671602785000000,1760671602656000000,0.09850790,,market,,,,,,,,,,,
1760671602787570704,bitget,bbo,1760671602785000000,1760671602785000000,0.09850890,,market,,,,,,,,,,,
1760671602799717580,bybit,orderbook,1760671602762000000,1760671602764000000,0.09848500,,market,,,,,,,,,,,
1760671602810077554,bybit,bbo,1760671602770000000,1760671602774000000,0.09848500,,market,,,,,,,,,,,
1760671602814617488,gate,bbo,1760671602813000000,1760671602814000000,0.09848000,,market,,,,,,,,,,,
1760671602808365278,bitget,orderbook,1760671602805000000,1760671602806000000,0.09850757,,market,,,,,,,,,,,
1760671602819738016,bybit,orderbook,1760671602770000000,1760671602784000000,0.09848472,,market,,,,,,,,,,,
1760671602826620603,gate,bbo,1760671602825000000,1760671602826000000,0.09847000,,market,,,,,,,,,,,
1760671602840343828,bybit,orderbook,1760671602788000000,1760671602805000000,0.09848445,,market,,,,,,,,,,,
1760671602846510495,binance,trade,1760671602693000000,1760671602846000000,0.09849878,buy,market,,,,,,,,,,,
1760671602837827571,gate,bbo,1760671602836000000,1760671602837000000,0.09847000,,market,,,,,,,,,,,
1760671602860155619,bybit,orderbook,1760671602814000000,1760671602825000000,0.09848445,,market,,,,,,,,,,,
1760671602880449779,bybit,orderbook,1760671602831000000,1760671602845000000,0.09848445,,market,,,,,,,,,,,
1760671602900524623,bybit,orderbook,1760671602848000000,1760671602865000000,0.09848445,,market,,,,,,,,,,,
1760671602904071700,bitget,orderbook,1760671602900000000,1760671602806000000,0.09850668,,market,,,,,,,,,,,
1760671602904071700,bitget,bbo,1760671602900000000,1760671602902000000,0.09850818,,market,,,,,,,,,,,
