ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760021280064000000,binance,trade,0.24376109,buy,market,,,,,,,,,,,
1760021280240732000,bybit,orderbook,0.24374464,,market,,,,,,,,,,,
1760021280261059000,bybit,orderbook,0.24374444,,market,,,,,,,,,,,
1760021280303000000,bybit,bbo,0.24374444,,market,,,,,,,,,,,
1760021280268000000,binance,bbo,0.24375579,,market,,,,,,,,,,,
1760021280267000000,gate,bbo,0.24371500,,market,,,,,,,,,,,
1760021280266362000,bitget,orderbook,0.24371889,,market,,,,,,,,,,,
1760021280289000000,bitget,bbo,0.24371889,,market,,,,,,,,,,,
1760021280280299000,bybit,orderbook,0.24374405,,market,,,,,,,,,,,
1760021280313000000,bybit,bbo,0.24374405,,market,,,,,,,,,,,
1760021280295000000,binance,bbo,0.24375527,,market,,,,,,,,,,,
1760021280290000000,gate,bbo,0.24371500,,market,,,,,,,,,,,
1760021280283000000,gate,trade,0.24371000,buy,market,,,,,,,,,,,
1760021280344000000,bybit,bbo,0.24374388,,market,,,,,,,,,,,
1760021280304000000,binance,bbo,0.24375500,,market,,,,,,,,,,,
1760021280313000000,gate,bbo,0.24372500,,market,,,,,,,,,,,
1760021280287612000,bitget,orderbook,0.24371885,,market,,,,,,,,,,,
1760021280309000000,bitget,bbo,0.24371885,,market,,,,,,,,,,,
1760021280321525000,bybit,orderbook,0.24374380,,market,,,,,,,,,,,
1760021280332000000,binance,bbo,0.24375488,,market,,,,,,,,,,,
1760021280326000000,gate,bbo,0.24372500,,market,,,,,,,,,,,
1760021280312781000,bitget,orderbook,0.24371887,,market,,,,,,,,,,,
1760021280329000000,bitget,bbo,0.24371887,,market,,,,,,,,,,,
1760021280342943000,bybit,orderbook,0.24374380,,market,,,,,,,,,,,
